accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.05,0.04,0.95,-0.18,0.05,0.06,-3.14,2.38
-0.04,0.03,0.94,-0.18,0.01,0.08,-2.22,2.06
-0.03,0.04,0.93,-0.18,-0.03,0.08,-1.57,2.17
-0.01,0.04,0.94,-0.17,-0.04,0.07,-0.81,2.53
-0.0,0.04,0.94,-0.16,-0.04,0.05,-0.13,2.37
0.0,0.04,0.95,-0.17,-0.03,0.05,0.18,2.59
0.02,0.04,0.96,-0.14,0.01,0.05,1.18,2.61
0.02,0.04,0.97,-0.12,0.08,0.05,1.35,2.63
0.03,0.05,0.97,-0.07,0.12,0.04,1.58,2.88
0.04,0.05,0.97,-0.05,0.19,0.05,2.11,2.73
0.04,0.05,0.97,-0.0,0.22,0.04,2.34,2.98
0.04,0.06,0.97,0.03,0.23,0.03,2.36,3.68
0.03,0.07,0.97,0.07,0.27,0.02,1.72,4.0
0.04,0.06,0.98,0.1,0.31,0.03,2.11,3.52
0.04,0.06,0.98,0.14,0.33,0.03,2.16,3.38
0.04,0.05,0.97,0.18,0.34,0.03,2.13,2.88
0.03,0.04,0.95,0.21,0.36,0.02,2.05,2.69
0.04,0.02,0.95,0.23,0.35,0.01,2.13,1.3
0.02,0.03,0.95,0.24,0.38,-0.0,1.18,1.75
0.0,0.03,0.96,0.26,0.34,-0.01,0.07,1.64
-0.01,0.04,0.95,0.26,0.31,-0.0,-0.62,2.23
-0.03,0.01,0.95,0.24,0.28,-0.01,-1.82,0.37
-0.05,0.01,0.96,0.22,0.22,-0.01,-2.96,0.65
-0.07,0.03,0.96,0.19,0.15,0.0,-4.0,1.7
-0.07,0.03,0.95,0.16,0.1,0.01,-4.01,1.57
-0.07,0.02,0.95,0.11,0.06,0.02,-4.46,1.36
-0.08,0.0,0.95,0.07,0.02,0.04,-4.85,0.24
-0.07,0.0,0.94,0.03,-0.0,0.05,-4.06,0.22
-0.07,0.0,0.92,-0.0,-0.03,0.05,-4.14,0.12
-0.06,-0.0,0.93,-0.05,-0.04,0.05,-3.91,-0.14
-0.04,0.01,0.92,-0.07,-0.09,0.07,-2.3,0.65
-0.03,0.0,0.9,-0.09,-0.11,0.05,-2.13,0.13
-0.03,-0.02,0.9,-0.13,-0.14,0.04,-1.91,-1.02
-0.02,-0.02,0.92,-0.17,-0.13,0.03,-1.11,-1.32
-0.01,-0.02,0.91,-0.2,-0.14,0.04,-0.55,-1.24
-0.02,-0.02,0.91,-0.22,-0.16,0.04,-1.09,-1.27
-0.01,-0.02,0.93,-0.24,-0.16,0.04,-0.71,-1.4
0.01,-0.03,0.93,-0.25,-0.16,0.05,0.33,-1.69
0.01,-0.02,0.93,-0.25,-0.19,0.04,0.61,-1.23
0.02,-0.01,0.92,-0.25,-0.19,0.04,1.08,-0.67
0.02,-0.02,0.91,-0.25,-0.21,0.02,1.48,-1.39
0.02,-0.02,0.92,-0.24,-0.2,0.0,1.54,-0.96
0.02,-0.02,0.92,-0.23,-0.18,-0.0,1.31,-1.42
0.01,-0.01,0.93,-0.22,-0.16,-0.01,0.75,-0.76
0.02,-0.01,0.93,-0.2,-0.15,-0.01,1.02,-0.79
0.01,-0.01,0.92,-0.19,-0.13,-0.02,0.79,-0.48
0.01,-0.01,0.92,-0.18,-0.12,-0.02,0.36,-0.38
0.0,-0.0,0.93,-0.18,-0.13,-0.03,0.3,-0.3
-0.01,-0.0,0.92,-0.18,-0.12,-0.03,-0.32,-0.19
-0.0,0.0,0.93,-0.16,-0.13,-0.04,-0.11,0.06
-0.0,-0.0,0.93,-0.17,-0.12,-0.04,-0.18,-0.13
-0.0,0.0,0.93,-0.17,-0.12,-0.04,-0.29,0.28
-0.0,0.01,0.93,-0.16,-0.14,-0.03,-0.09,0.36
-0.01,0.01,0.94,-0.15,-0.14,-0.04,-0.65,0.69
-0.01,0.02,0.94,-0.15,-0.15,-0.03,-0.57,1.25
-0.01,0.03,0.95,-0.15,-0.15,-0.03,-0.58,1.5
-0.0,0.03,0.95,-0.15,-0.16,-0.03,-0.17,1.7
-0.01,0.02,0.96,-0.15,-0.17,-0.02,-0.36,1.2
-0.01,0.02,0.95,-0.15,-0.17,-0.01,-0.32,1.3
0.01,0.02,0.96,-0.15,-0.16,-0.02,0.74,1.48
0.01,0.02,0.95,-0.14,-0.16,-0.02,0.46,1.36
0.01,0.02,0.94,-0.13,-0.17,-0.03,0.51,1.26
0.0,0.03,0.94,-0.12,-0.17,-0.03,0.21,1.61
-0.0,0.03,0.96,-0.11,-0.16,-0.02,-0.14,1.85
-0.01,0.04,0.97,-0.1,-0.16,-0.02,-0.53,2.1
-0.02,0.05,0.99,-0.08,-0.13,-0.0,-1.19,2.64
-0.03,0.06,1.01,-0.06,-0.11,0.01,-1.73,3.21
-0.04,0.06,1.02,-0.05,-0.1,0.04,-2.05,3.38
-0.04,0.06,1.02,-0.03,-0.05,0.07,-2.4,3.19
-0.05,0.05,1.01,-0.0,-0.02,0.11,-2.61,3.0
-0.05,0.06,0.99,0.0,0.04,0.12,-2.98,3.28
-0.05,0.05,0.98,-0.0,0.07,0.14,-3.1,2.95
-0.05,0.04,0.97,0.01,0.1,0.16,-3.06,2.51
-0.05,0.04,0.95,0.01,0.11,0.17,-3.22,2.5
-0.06,0.04,0.94,0.0,0.12,0.18,-3.43,2.14
-0.05,0.03,0.93,-0.03,0.12,0.18,-3.28,1.75
-0.06,0.03,0.91,-0.04,0.1,0.18,-3.69,1.67
-0.05,0.01,0.91,-0.06,0.09,0.17,-2.85,0.65
-0.04,0.0,0.89,-0.02,0.21,0.01,-2.86,0.22
-0.04,0.0,0.87,-0.12,0.07,0.13,-2.65,0.19
-0.04,-0.01,0.86,-0.12,0.02,0.11,-2.5,-0.37
-0.03,-0.0,0.86,-0.15,0.0,0.09,-1.94,-0.12
-0.02,0.0,0.87,-0.16,0.01,0.05,-1.59,0.15
-0.04,0.0,0.88,-0.2,0.01,0.03,-2.4,0.16
-0.01,-0.01,0.89,-0.2,-0.01,0.02,-0.64,-0.34
-0.03,0.01,0.91,-0.21,-0.01,0.01,-1.57,0.61
-0.04,0.02,0.93,-0.23,0.04,-0.01,-2.38,1.12
-0.05,0.03,0.95,-0.24,0.03,0.01,-2.99,1.97
-0.04,0.03,0.96,-0.23,0.03,0.02,-2.52,1.96
-0.06,0.04,0.97,-0.26,0.03,0.04,-3.52,2.54
-0.06,0.05,0.97,-0.27,0.02,0.05,-3.67,2.86
-0.05,0.05,0.97,-0.31,0.02,0.07,-3.16,2.82
-0.04,0.05,0.98,-0.32,-0.02,0.09,-2.27,2.68
-0.04,0.05,0.99,-0.26,0.1,-0.03,-2.04,2.86
-0.01,0.05,1.01,-0.31,-0.04,0.13,-0.79,2.74
0.0,0.04,0.99,-0.3,-0.03,0.15,0.13,2.54
0.02,0.04,0.98,-0.3,-0.03,0.18,1.12,2.43
0.03,0.03,0.97,-0.28,-0.02,0.18,1.78,1.73
0.04,0.02,0.95,-0.26,-0.02,0.17,2.52,1.42
0.05,0.01,0.94,-0.25,-0.02,0.15,3.21,0.88
0.06,0.01,0.93,-0.24,-0.02,0.14,3.54,0.75
0.07,0.01,0.93,-0.22,-0.02,0.12,4.15,0.52
0.07,0.01,0.93,-0.19,-0.03,0.11,4.6,0.69
0.07,0.02,0.93,-0.18,-0.02,0.08,4.56,0.95
0.08,0.01,0.94,-0.17,-0.03,0.07,4.93,0.9
