accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.27,-0.21,0.52,1.5,3.05,0.12
0.24,-0.18,0.49,1.51,3.01,0.07
0.23,-0.14,0.45,1.49,2.98,0.02
0.24,-0.12,0.42,1.43,3.0,-0.01
0.24,-0.1,0.39,1.34,3.06,-0.02
0.21,-0.06,0.37,1.22,3.13,-0.03
0.18,0.01,0.33,1.06,3.18,-0.02
0.12,0.05,0.33,0.87,3.22,0.03
0.07,0.06,0.31,0.69,3.2,0.09
0.03,0.09,0.3,0.51,3.18,0.16
0.01,0.14,0.31,0.37,3.11,0.24
0.01,0.16,0.31,0.24,3.05,0.29
-0.03,0.13,0.32,0.12,2.93,0.34
-0.03,0.09,0.32,0.03,2.86,0.36
-0.05,0.09,0.32,-0.03,2.79,0.37
-0.09,0.08,0.35,-0.03,2.73,0.38
-0.1,0.07,0.4,-0.01,2.61,0.4
-0.1,0.08,0.42,0.06,2.46,0.42
-0.11,0.07,0.42,0.17,2.33,0.42
-0.13,0.06,0.39,0.28,2.23,0.42
-0.16,0.05,0.37,0.42,2.12,0.41
-0.16,0.07,0.36,0.56,2.0,0.37
-0.18,0.1,0.35,0.72,1.88,0.34
-0.18,0.11,0.35,0.88,1.77,0.29
-0.17,0.13,0.34,1.04,1.66,0.22
-0.19,0.15,0.33,1.16,1.57,0.15
-0.23,0.18,0.28,1.26,1.49,0.07
-0.28,0.25,0.24,1.29,1.47,0.0
-0.35,0.3,0.24,1.28,1.43,-0.02
-0.4,0.35,0.25,1.22,1.36,-0.02
-0.44,0.41,0.25,1.12,1.27,0.03
-0.48,0.48,0.24,0.96,1.21,0.11
-0.52,0.51,0.23,0.75,1.16,0.19
-0.53,0.55,0.21,0.52,1.09,0.28
-0.52,0.56,0.2,0.23,1.0,0.36
-0.48,0.54,0.23,-0.04,0.87,0.4
-0.41,0.51,0.29,-0.3,0.72,0.44
-0.32,0.44,0.35,-0.48,0.58,0.44
-0.22,0.34,0.43,-0.58,0.44,0.4
-0.13,0.27,0.49,-0.61,0.32,0.33
-0.05,0.21,0.55,-0.59,0.25,0.23
0.01,0.14,0.63,-0.51,0.17,0.11
0.03,0.1,0.69,-0.4,0.1,-0.01
0.04,0.07,0.73,-0.26,0.06,-0.13
0.03,0.06,0.78,-0.15,0.01,-0.22
