accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.3,0.87,-0.27,1.36,0.69,0.11,18.31,65.01
0.33,0.97,-0.3,1.12,0.61,0.08,18.1,65.15
0.34,1.0,-0.27,0.84,0.52,0.07,18.32,66.4
0.34,1.01,-0.21,0.54,0.44,0.05,18.26,68.29
0.33,0.97,-0.13,0.24,0.35,0.03,18.54,69.93
0.31,0.91,-0.07,-0.03,0.26,0.01,18.61,70.96
0.27,0.84,0.02,-0.26,0.19,-0.03,17.61,72.35
0.22,0.76,0.12,-0.45,0.13,-0.06,15.93,71.71
0.16,0.7,0.23,-0.62,0.09,-0.07,12.03,68.52
0.07,0.62,0.36,-0.73,0.05,-0.07,5.66,59.4
0.02,0.56,0.44,-0.79,0.02,-0.07,1.28,52.07
-0.04,0.47,0.54,-0.81,0.0,-0.06,-3.36,41.07
-0.09,0.41,0.64,-0.76,-0.01,-0.06,-6.92,32.2
-0.15,0.34,0.74,-0.67,-0.03,-0.05,-10.6,23.9
-0.17,0.31,0.78,-0.55,-0.02,-0.04,-11.57,21.01
-0.2,0.3,0.83,-0.43,-0.02,-0.01,-12.95,19.65
-0.21,0.28,0.87,-0.27,0.0,0.01,-12.86,17.33
-0.21,0.26,0.89,-0.1,-0.01,0.05,-12.83,16.01
-0.19,0.26,0.87,0.07,-0.03,0.05,-11.66,16.42
-0.17,0.29,0.83,0.24,-0.06,0.04,-10.91,18.94
-0.15,0.32,0.79,0.34,-0.08,0.04,-10.16,21.63
-0.11,0.36,0.75,0.43,-0.15,0.02,-7.17,25.23
-0.07,0.37,0.74,0.49,-0.2,-0.01,-4.79,26.55
-0.06,0.4,0.71,0.52,-0.21,-0.04,-4.02,29.35
-0.03,0.46,0.67,0.51,-0.22,-0.07,-1.89,34.5
-0.02,0.52,0.64,0.45,-0.27,-0.09,-1.19,38.96
-0.0,0.56,0.62,0.37,-0.33,-0.11,-0.22,41.83
0.01,0.57,0.63,0.26,-0.38,-0.15,0.4,42.48
-0.0,0.59,0.65,0.13,-0.41,-0.16,-0.04,42.04
-0.02,0.58,0.68,-0.02,-0.42,-0.15,-0.99,40.05
-0.01,0.56,0.7,-0.15,-0.41,-0.13,-0.87,38.84
-0.01,0.53,0.71,-0.29,-0.36,-0.11,-0.59,36.77
-0.02,0.48,0.72,-0.42,-0.32,-0.11,-1.11,33.41
-0.03,0.42,0.78,-0.51,-0.28,-0.11,-1.84,27.92
-0.04,0.36,0.87,-0.57,-0.22,-0.12,-2.23,22.43
-0.06,0.32,0.92,-0.57,-0.19,-0.12,-3.52,19.0
-0.08,0.28,0.94,-0.55,-0.12,-0.13,-4.49,16.51
-0.1,0.26,0.95,-0.49,-0.06,-0.14,-5.6,15.23
-0.12,0.27,0.97,-0.42,-0.03,-0.16,-6.7,15.62
-0.14,0.29,1.02,-0.33,-0.02,-0.15,-7.75,15.66
-0.15,0.31,1.05,-0.24,-0.01,-0.13,-7.95,16.39
-0.15,0.32,1.05,-0.12,-0.02,-0.09,-7.92,16.75
-0.14,0.33,1.04,-0.03,0.0,-0.07,-7.54,17.29
-0.12,0.35,1.0,0.09,-0.01,-0.05,-6.27,19.19
-0.09,0.38,0.96,0.17,-0.01,-0.03,-5.09,21.56
-0.07,0.4,0.92,0.21,-0.02,-0.02,-4.14,23.18
-0.04,0.42,0.89,0.25,-0.04,-0.01,-2.57,25.26
-0.03,0.44,0.86,0.27,-0.07,-0.02,-1.7,27.06
-0.01,0.46,0.81,0.26,-0.07,-0.02,-0.44,29.32
-0.01,0.46,0.79,0.22,-0.08,-0.03,-0.39,30.28
0.01,0.47,0.77,0.16,-0.09,-0.06,0.58,31.55
0.02,0.48,0.75,0.11,-0.1,-0.06,1.47,32.42
0.03,0.49,0.73,0.03,-0.1,-0.08,1.67,33.61
0.02,0.49,0.72,-0.07,-0.1,-0.09,1.42,33.83
0.0,0.48,0.73,-0.14,-0.09,-0.11,0.27,33.48
-0.01,0.47,0.74,-0.23,-0.09,-0.12,-0.76,32.49
-0.02,0.46,0.74,-0.32,-0.06,-0.12,-1.12,32.13
-0.03,0.43,0.78,-0.39,-0.02,-0.12,-2.23,28.88
-0.07,0.41,0.82,-0.45,0.02,-0.12,-4.17,26.62
-0.09,0.41,0.85,-0.48,0.03,-0.09,-5.62,25.59
-0.11,0.41,0.87,-0.49,0.05,-0.06,-6.72,25.15
-0.13,0.4,0.9,-0.49,0.09,-0.03,-7.34,23.7
-0.14,0.37,0.93,-0.46,0.08,-0.0,-8.0,21.73
-0.15,0.34,0.94,-0.38,0.05,0.02,-8.36,19.5
-0.15,0.31,0.97,-0.32,0.02,0.02,-8.31,17.49
-0.15,0.3,0.98,-0.22,0.0,0.01,-8.22,17.07
-0.13,0.31,0.97,-0.15,-0.04,0.02,-7.35,17.4
-0.12,0.31,0.97,-0.06,-0.1,0.02,-6.74,17.64
-0.11,0.34,0.96,-0.01,-0.12,0.03,-6.09,19.06
-0.1,0.34,0.95,0.03,-0.08,0.03,-5.49,19.91
-0.08,0.35,0.94,0.07,-0.09,0.05,-4.51,20.29
-0.06,0.35,0.94,0.08,-0.07,0.05,-3.54,20.21
-0.05,0.34,0.94,0.11,-0.07,0.04,-2.84,19.78
-0.04,0.34,0.92,0.11,-0.05,0.03,-2.15,20.55
-0.04,0.37,0.9,0.13,-0.04,0.01,-2.49,22.57
-0.04,0.39,0.89,0.14,-0.05,0.0,-2.49,23.67
-0.06,0.41,0.88,0.13,-0.05,0.0,-3.7,25.02
-0.07,0.42,0.88,0.09,-0.02,0.01,-4.3,25.56
-0.08,0.44,0.88,0.08,-0.02,0.02,-4.77,26.69
-0.09,0.44,0.88,0.07,-0.01,0.05,-4.98,26.59
-0.09,0.43,0.88,0.06,-0.0,0.07,-5.21,26.1
-0.08,0.44,0.86,0.06,0.02,0.08,-4.96,26.83
-0.09,0.43,0.87,0.04,0.05,0.1,-5.07,26.44
-0.08,0.44,0.86,0.05,0.05,0.12,-4.98,26.73
-0.09,0.43,0.86,0.06,0.04,0.13,-5.4,26.26
-0.09,0.43,0.87,0.09,0.05,0.14,-5.18,26.04
-0.07,0.43,0.85,0.1,0.04,0.13,-4.37,26.42
-0.06,0.41,0.84,0.11,0.02,0.13,-3.96,25.79
-0.06,0.4,0.84,0.13,-0.02,0.12,-3.78,25.67
-0.05,0.41,0.84,0.13,-0.02,0.1,-2.87,26.04
-0.04,0.42,0.83,0.12,-0.03,0.09,-2.46,27.05
-0.04,0.42,0.82,0.09,-0.03,0.09,-2.22,26.94
-0.03,0.42,0.81,0.07,-0.04,0.09,-1.83,27.39
-0.02,0.41,0.82,0.04,-0.01,0.07,-1.38,26.59
-0.02,0.39,0.83,0.02,-0.0,0.06,-1.16,25.44
-0.02,0.39,0.83,-0.0,0.01,0.04,-1.31,25.46
-0.03,0.4,0.82,-0.02,0.02,0.02,-1.79,25.77
-0.03,0.4,0.82,-0.05,0.03,0.01,-2.07,26.11
-0.04,0.4,0.84,-0.05,0.02,0.0,-2.67,25.4
